"run_year","Unfished3Lower","Unfished3Mean","Unfished3Upper"
2010,60541.7028504835,65191.0593239038,70136.8173444496
2011,53221.795832687,58759.5274819085,66684.9303643459
2012,162991.073939394,181779.430440257,220829.893583763
2013,290473.762254882,315097.045399099,364954.082044303
2014,246326.312899785,266110.841697378,299412.676763654
2015,128095.285925345,139994.376598038,156861.410398093
2016,66198.7706240425,74893.4854169147,86224.936496693
2017,34935.3626587506,41750.0081478084,56221.0664963055
2018,57206.1535763491,66387.5734545165,77734.7570219264
2019,305044.216477231,327115.241006239,378238.215999323
2020,173433.411432291,185666.152441769,202784.503690035
2021,0,0,0
